data;conta;tipo;valor;descrição;
2026-01-01;CAIXA;C;1000.00;Saldo inicial
2026-01-01;BANCO BRASIL;C;5000.00;Aporte Capital
2026-01-01;SANTANDER;C;2000.00;Empréstimo
2026-01-02;CAIXA;D;150.50;Compra de Papelaria
2026-01-02;BANCO BRASIL;D;100.00;Tarifa Manutenção
2026-01-03;SANTANDER;D;500.00;Pagamento Aluguel
2026-01-04;CAIXA;D;900.00;Retirada Sócios
2026-01-05;BANCO BRASIL;C;1500.00;Venda a Vista
2026-01-05;BANCO BRASIL;C;1500.00;Venda a Vista
2026-01-06;AMERICA;C;300.00;Venda Pequena
2026-01-06;ZURICH;C;1000.00;Seguro
2026-01-07;CAIXA;C;2000.00;Reposição de Caixa
2026-01-08;SANTANDER;D;2500.00;Pagamento Fornecedor
2026-01-09;BANCO BRASIL;D;50.00;Taxa TED
2026-01-10;CAIXA;D;50.00;Lanche Equipe
